n_experimento;feecha_hora;tiempo_procesamiento;modelo;algoritmo;hiperparametros;estandarizacion;resampling;tn;fp;fn;tp;accuracy;balanced_accuracy;precision;recall;f1score;roc_auc_score_train;roc_auc_score_test;otras_metricas;dataset_trainX;dataset_trainY;dataset_testX;dataset_testY;extras_idmodelo
40;25/05/2022 11:58;0 days 00:05:05.940980;sobretiempos;lightgbm;{'n_estimators': 1000, 'boosting_type': 'goss', 'is_unbalance': True, 'n_jobs': 4};Standard;NoneCounter({0: 66431, 1: 1152});16524;84;233;55;0.9812381628787878;0.592957209377007;0.39568345323741005;0.1909722222222222;0.2576112412177986;0.5929572093770071;0.81(0.02);;{'nombre': 'data/sobretiempos/train/dataframe_ceros_v4_x_train.csv', 'shape': (67583, 190)};{'nombre': 'data/sobretiempos/train/dataframe_ceros_v4_y_train.csv', 'shape': (67583, 1)};{'nombre': 'data/sobretiempos/test/dataframe_ceros_v4_x_test.csv', 'shape': (16896, 189)};{'nombre': 'data/sobretiempos/test/dataframe_ceros_v4_y_test.csv', 'shape': (16896,)};551834
40;25/05/2022 12:06;0 days 00:04:50.797368;sobretiempos;lightgbm;{'n_estimators': 1000, 'boosting_type': 'goss', 'is_unbalance': True, 'n_jobs': 4};Standard;NoneCounter({0: 66431, 1: 1152});16524;84;233;55;0.9812381628787878;0.592957209377007;0.39568345323741005;0.1909722222222222;0.2576112412177986;0.5929572093770071;0.81(0.02);;{'nombre': 'data/sobretiempos/train/dataframe_ceros_v4_x_train.csv', 'shape': (67583, 190)};{'nombre': 'data/sobretiempos/train/dataframe_ceros_v4_y_train.csv', 'shape': (67583, 1)};{'nombre': 'data/sobretiempos/test/dataframe_ceros_v4_x_test.csv', 'shape': (16896, 189)};{'nombre': 'data/sobretiempos/test/dataframe_ceros_v4_y_test.csv', 'shape': (16896,)};330789
40;25/05/2022 11:08;0 days 00:00:18.372477;sobretiempos;lightgbm;{'n_estimators': 3, 'boosting_type': 'goss', 'is_unbalance': True, 'n_jobs': 4};Standard;NoneCounter({0: 66431, 1: 1152});14126;2482;109;179;0.8466500946969697;0.7360408638407193;0.06726794438181134;0.6215277777777778;0.1213970837572058;0.7360408638407193;0.8(0.02);;{'nombre': 'data/sobretiempos/train/dataframe_ceros_v4_x_train.csv', 'shape': (67583, 190)};{'nombre': 'data/sobretiempos/train/dataframe_ceros_v4_y_train.csv', 'shape': (67583, 1)};{'nombre': 'data/sobretiempos/test/dataframe_ceros_v4_x_test.csv', 'shape': (16896, 189)};{'nombre': 'data/sobretiempos/test/dataframe_ceros_v4_y_test.csv', 'shape': (16896, 1)};639562
40;25/05/2022 11:12;0 days 00:00:18.236153;sobretiempos;lightgbm;{'n_estimators': 3, 'boosting_type': 'goss', 'is_unbalance': True, 'n_jobs': 4};Standard;NoneCounter({0: 66431, 1: 1152});14126;2482;109;179;0.8466500946969697;0.7360408638407193;0.06726794438181134;0.6215277777777778;0.1213970837572058;0.7360408638407193;0.8(0.02);;{'nombre': 'data/sobretiempos/train/dataframe_ceros_v4_x_train.csv', 'shape': (67583, 190)};{'nombre': 'data/sobretiempos/train/dataframe_ceros_v4_y_train.csv', 'shape': (67583, 1)};{'nombre': 'data/sobretiempos/test/dataframe_ceros_v4_x_test.csv', 'shape': (16896, 189)};{'nombre': 'data/sobretiempos/test/dataframe_ceros_v4_y_test.csv', 'shape': (16896, 1)};815126
40;25/05/2022 11:44;0 days 00:00:17.889186;sobretiempos;lightgbm;{'n_estimators': 3, 'boosting_type': 'goss', 'is_unbalance': True, 'n_jobs': 4};Standard;NoneCounter({0: 66431, 1: 1152});14126;2482;109;179;0.8466500946969697;0.7360408638407193;0.06726794438181134;0.6215277777777778;0.1213970837572058;0.7360408638407193;0.8(0.02);;{'nombre': 'data/sobretiempos/train/dataframe_ceros_v4_x_train.csv', 'shape': (67583, 190)};{'nombre': 'data/sobretiempos/train/dataframe_ceros_v4_y_train.csv', 'shape': (67583, 1)};{'nombre': 'data/sobretiempos/test/dataframe_ceros_v4_x_test.csv', 'shape': (16896, 189)};{'nombre': 'data/sobretiempos/test/dataframe_ceros_v4_y_test.csv', 'shape': (16896,)};224400
39;18/05/2022 20:25;0 days 00:02:37.547214;sobretiempos;regresion_logistica;{'penalty': 'l1', 'C': 0.001, 'random_state': 42, 'class_weight': 'balanced'};Standard;NoneCounter({0: 66431, 1: 1152});12783;3825;72;216;0.7693536931818182;0.7598446531791907;0.053452115812917596;0.75;0.0997920997920998;0.7598446531791907;0.83(0.02);{'r2': -12.765895953757227};{'nombre': 'data/sobretiempos/train/dataframe_nuevenueve_v4_x_train.csv', 'shape': (67583, 190)};{'nombre': 'data/sobretiempos/train/dataframe_nuevenueve_v4_y_train.csv', 'shape': (67583, 1)};{'nombre': 'data/sobretiempos/test/dataframe_nuevenueve_v4_x_test.csv', 'shape': (16896, 189)};{'nombre': 'data/sobretiempos/test/dataframe_nuevenueve_v4_y_test.csv', 'shape': (16896, 1)};{'id_modelo': 779173}
39;18/05/2022 20:17;0 days 00:00:22.599189;sobretiempos;lightgbm;{'n_estimators': 4, 'boosting_type': 'dart', 'is_unbalance': True, 'n_jobs': 4};Standard;NoneCounter({0: 66431, 1: 1152});14174;2434;110;178;0.8494318181818182;0.7357498394348105;0.0681470137825421;0.6180555555555556;0.12275862068965517;0.7357498394348105;0.8(0.02);;{'nombre': 'data/sobretiempos/train/dataframe_nuevenueve_v4_x_train.csv', 'shape': (67583, 190)};{'nombre': 'data/sobretiempos/train/dataframe_nuevenueve_v4_y_train.csv', 'shape': (67583, 1)};{'nombre': 'data/sobretiempos/test/dataframe_nuevenueve_v4_x_test.csv', 'shape': (16896, 189)};{'nombre': 'data/sobretiempos/test/dataframe_nuevenueve_v4_y_test.csv', 'shape': (16896, 1)};317279
39;18/05/2022 20:23;0 days 00:00:17.967860;sobretiempos;lightgbm;{'n_estimators': 4, 'boosting_type': 'dart', 'is_unbalance': True, 'n_jobs': 4};Standard;NoneCounter({0: 66431, 1: 1152});14174;2434;110;178;0.8494318181818182;0.7357498394348105;0.0681470137825421;0.6180555555555556;0.12275862068965517;0.7357498394348105;0.8(0.02);;{'nombre': 'data/sobretiempos/train/dataframe_nuevenueve_v4_x_train.csv', 'shape': (67583, 190)};{'nombre': 'data/sobretiempos/train/dataframe_nuevenueve_v4_y_train.csv', 'shape': (67583, 1)};{'nombre': 'data/sobretiempos/test/dataframe_nuevenueve_v4_x_test.csv', 'shape': (16896, 189)};{'nombre': 'data/sobretiempos/test/dataframe_nuevenueve_v4_y_test.csv', 'shape': (16896, 1)};800981
38;19/05/2022 22:21;0 days 01:01:23.248489;sobrecostos;lightgbm;{'n_estimators': 3000, 'boosting_type': 'dart', 'is_unbalance': True, 'n_jobs': 4};Standard;NoneCounter({0.0: 56854, 1.0: 2476});13887;327;397;222;0.9511899143800985;0.6678187424944303;0.40437158469945356;0.35864297253634897;0.3801369863013699;0.6678187424944302;0.87(0.01);;{'nombre': 'data/sobrecostos/train/dataframe_nuevenueve_v3_x_train.csv', 'shape': (59330, 190)};{'nombre': 'data/sobrecostos/train/dataframe_nuevenueve_v3_y_train.csv', 'shape': (59330, 1)};{'nombre': 'data/sobrecostos/test/dataframe_nuevenueve_v3_x_test.csv', 'shape': (14833, 189)};{'nombre': 'data/sobrecostos/test/dataframe_nuevenueve_v3_y_test.csv', 'shape': (14833, 1)};736603
38;19/05/2022 21:20;0 days 00:02:32.644551;sobrecostos;regresion_logistica;{'penalty': 'l2', 'C': 1, 'random_state': 42, 'class_weight': 'balanced'};Standard;NoneCounter({0.0: 56332, 1.0: 2472});10546;3538;116;502;0.7514623860699224;0.7805453455871336;0.12425742574257426;0.8122977346278317;0.21554315156719622;0.7805453455871337;0.85(0.01);{'r2': -5.1720646991835375};{'nombre': 'data/sobrecostos/train/dataframe_sinnulls_v3_x_train.csv', 'shape': (58804, 190)};{'nombre': 'data/sobrecostos/train/dataframe_sinnulls_v3_y_train.csv', 'shape': (58804, 1)};{'nombre': 'data/sobrecostos/test/dataframe_sinnulls_v3_x_test.csv', 'shape': (14702, 189)};{'nombre': 'data/sobrecostos/test/dataframe_sinnulls_v3_y_test.csv', 'shape': (14702, 1)};{'id_modelo': 842088}
